CustomerKey,OrderDate,ProductKey,year,Teritory,sub_category,main_category,OrderQuantity,Age,Price,Cost,Payed
29167,2020-01-04,310,2020,Northwest,2,1,1,61,3578.27,2171.29,3578.27
11751,2020-01-08,344,2020,Australia,1,1,1,50,3399.99,1912.15,3399.99
29236,2020-01-09,314,2020,Southwest,2,1,1,57,3578.27,2171.29,3578.27
29225,2020-01-31,314,2020,Northwest,2,1,1,64,3578.27,2171.29,3578.27
19432,2020-02-02,340,2020,Germany,2,1,1,51,699.1,413.15,699.1
19096,2020-02-02,313,2020,Australia,2,1,1,48,3578.27,2171.29,3578.27
15062,2020-02-05,310,2020,United Kingdom,2,1,1,60,3578.27,2171.29,3578.27
19556,2020-02-24,313,2020,Australia,2,1,1,51,3578.27,2171.29,3578.27
11303,2020-03-05,310,2020,Northwest,2,1,1,60,3578.27,2171.29,3578.27
11522,2020-03-06,314,2020,Northwest,2,1,1,65,3578.27,2171.29,3578.27
18137,2020-03-06,342,2020,France,2,1,1,65,699.1,413.15,699.1
19766,2020-03-08,314,2020,Australia,2,1,1,69,3578.27,2171.29,3578.27
11623,2020-03-10,313,2020,Southwest,2,1,1,47,3578.27,2171.29,3578.27
11267,2020-03-20,313,2020,Southwest,2,1,1,56,3578.27,2171.29,3578.27
19792,2020-03-24,314,2020,Australia,2,1,1,63,3578.27,2171.29,3578.27
19772,2020-03-26,314,2020,Australia,2,1,1,66,3578.27,2171.29,3578.27
19785,2020-03-30,313,2020,Australia,2,1,1,65,3578.27,2171.29,3578.27
15614,2020-04-15,314,2020,United Kingdom,2,1,1,46,3578.27,2171.29,3578.27
11813,2020-04-18,313,2020,Northwest,2,1,1,53,3578.27,2171.29,3578.27
14895,2020-05-03,334,2020,Southwest,2,1,1,65,699.1,413.15,699.1
11999,2020-05-13,346,2020,Australia,1,1,1,60,3399.99,1912.15,3399.99
18634,2020-05-13,342,2020,France,2,1,1,49,699.1,413.15,699.1
24344,2020-05-16,313,2020,Canada,2,1,1,53,3578.27,2171.29,3578.27
14967,2020-05-18,314,2020,Germany,2,1,1,56,3578.27,2171.29,3578.27
20448,2020-05-22,314,2020,Australia,2,1,1,64,3578.27,2171.29,3578.27
11986,2020-05-25,345,2020,Australia,1,1,1,57,3399.99,1912.15,3399.99
12164,2020-05-28,311,2020,Southwest,2,1,1,57,3578.27,2171.29,3578.27
12112,2020-05-30,312,2020,Southwest,2,1,1,70,3578.27,2171.29,3578.27
20994,2020-06-02,310,2020,Australia,2,1,1,41,3578.27,2171.29,3578.27
15662,2020-06-08,314,2020,United Kingdom,2,1,1,60,3578.27,2171.29,3578.27
12013,2020-06-11,345,2020,Australia,1,1,1,67,3399.99,1912.15,3399.99
12768,2020-06-14,310,2020,Southwest,2,1,1,66,3578.27,2171.29,3578.27
14978,2020-06-24,311,2020,Germany,2,1,1,42,3578.27,2171.29,3578.27
12707,2020-06-25,313,2020,Northwest,2,1,1,79,3578.27,2171.29,3578.27
20823,2020-06-30,312,2020,Australia,2,1,1,43,3578.27,2171.29,3578.27
20999,2020-07-06,373,2020,Australia,2,1,1,42,2181.56,1320.68,2181.56
13019,2020-07-15,370,2020,Southwest,2,1,1,41,2443.35,1518.79,2443.35
13769,2020-07-20,377,2020,France,2,1,1,52,2181.56,1320.68,2181.56
13205,2020-07-22,370,2020,Southwest,2,1,1,76,2443.35,1518.79,2443.35
12353,2020-07-28,354,2020,Australia,1,1,1,47,2071.42,1117.86,2071.42
13212,2020-07-30,375,2020,Southwest,2,1,1,75,2181.56,1320.68,2181.56
21202,2020-07-30,371,2020,Australia,2,1,1,54,2181.56,1320.68,2181.56
21561,2020-08-02,370,2020,Australia,2,1,1,48,2443.35,1518.79,2443.35
26131,2020-08-09,338,2020,Australia,2,1,1,57,699.1,413.15,699.1
15649,2020-08-13,370,2020,Germany,2,1,1,77,2443.35,1518.79,2443.35
12668,2020-08-13,352,2020,Australia,1,1,1,44,2071.42,1117.86,2071.42
14169,2020-08-16,370,2020,France,2,1,1,52,2443.35,1518.79,2443.35
12578,2020-08-17,362,2020,Australia,1,1,1,40,2049.1,1105.81,2049.1
12676,2020-08-21,352,2020,Australia,1,1,1,46,2071.42,1117.86,2071.42
13340,2020-08-21,375,2020,Southwest,2,1,1,78,2181.56,1320.68,2181.56
19192,2020-08-26,385,2020,United Kingdom,2,1,1,50,1000.44,605.65,1000.44
21229,2020-08-30,368,2020,Australia,2,1,1,67,2443.35,1518.79,2443.35
25104,2020-08-31,368,2020,Canada,2,1,1,61,2443.35,1518.79,2443.35
19299,2020-09-09,383,2020,United Kingdom,2,1,1,51,1000.44,605.65,1000.44
16446,2020-09-10,373,2020,United Kingdom,2,1,1,58,2181.56,1320.68,2181.56
21878,2020-09-14,371,2020,Australia,2,1,1,44,2181.56,1320.68,2181.56
26313,2020-09-20,360,2020,Southwest,1,1,1,49,2049.1,1105.81,2049.1
21985,2020-10-06,371,2020,Australia,2,1,1,60,2181.56,1320.68,2181.56
22032,2020-10-08,377,2020,Australia,2,1,1,78,2181.56,1320.68,2181.56
22173,2020-10-10,371,2020,Australia,2,1,1,68,2181.56,1320.68,2181.56
