CustomerKey,OrderDate,ProductKey,year,Teritory,sub_category,main_category,OrderQuantity,Age,Price,Cost,Payed
11759,2020-01-10,350,2020,Australia,1,1,1,51,3374.99,1898.09,3374.99
14656,2020-01-13,342,2020,Northwest,2,1,1,61,699.1,413.15,699.1
18900,2020-01-14,312,2020,Australia,2,1,1,70,3578.27,2171.29,3578.27
28420,2020-01-22,344,2020,France,1,1,1,58,3399.99,1912.15,3399.99
29208,2020-01-23,312,2020,Northwest,2,1,1,64,3578.27,2171.29,3578.27
14653,2020-01-25,338,2020,Southwest,2,1,1,61,699.1,413.15,699.1
11459,2020-01-27,346,2020,Australia,1,1,1,48,3399.99,1912.15,3399.99
18928,2020-01-29,310,2020,Australia,2,1,1,65,3578.27,2171.29,3578.27
11451,2020-01-29,344,2020,Australia,1,1,1,46,3399.99,1912.15,3399.99
29258,2020-01-30,314,2020,Northwest,2,1,1,65,3578.27,2171.29,3578.27
14147,2020-01-30,310,2020,Germany,2,1,1,62,3578.27,2171.29,3578.27
14722,2020-01-31,340,2020,Northwest,2,1,1,46,699.1,413.15,699.1
18011,2020-02-04,330,2020,France,2,1,1,55,699.1,413.15,699.1
14734,2020-02-06,332,2020,Northwest,2,1,1,67,699.1,413.15,699.1
14149,2020-02-11,310,2020,Germany,2,1,1,60,3578.27,2171.29,3578.27
14160,2020-02-23,313,2020,Germany,2,1,1,51,3578.27,2171.29,3578.27
11175,2020-02-28,312,2020,Southwest,2,1,1,57,3578.27,2171.29,3578.27
11275,2020-03-02,313,2020,Southwest,2,1,1,86,3578.27,2171.29,3578.27
12607,2020-03-04,312,2020,France,2,1,1,60,3578.27,2171.29,3578.27
11307,2020-03-07,314,2020,Southwest,2,1,1,66,3578.27,2171.29,3578.27
11291,2020-03-07,313,2020,Southwest,2,1,1,59,3578.27,2171.29,3578.27
11237,2020-03-08,350,2020,Germany,1,1,1,62,3374.99,1898.09,3374.99
15088,2020-03-21,314,2020,United Kingdom,2,1,1,51,3578.27,2171.29,3578.27
19965,2020-03-24,311,2020,Australia,2,1,1,47,3578.27,2171.29,3578.27
11925,2020-04-11,314,2020,Northwest,2,1,1,42,3578.27,2171.29,3578.27
11964,2020-04-16,346,2020,Australia,1,1,1,64,3399.99,1912.15,3399.99
23730,2020-04-17,311,2020,Canada,2,1,1,69,3578.27,2171.29,3578.27
19439,2020-04-19,326,2020,Germany,2,1,1,51,699.1,413.15,699.1
25920,2020-04-20,324,2020,Australia,2,1,1,74,699.1,413.15,699.1
11809,2020-04-23,312,2020,Southwest,2,1,1,52,3578.27,2171.29,3578.27
11335,2020-04-25,345,2020,Germany,1,1,1,59,3399.99,1912.15,3399.99
12631,2020-04-27,311,2020,France,2,1,1,76,3578.27,2171.29,3578.27
11488,2020-04-30,348,2020,United Kingdom,1,1,1,49,3374.99,1898.09,3374.99
11885,2020-04-30,312,2020,Southwest,2,1,1,61,3578.27,2171.29,3578.27
12052,2020-05-06,310,2020,Southwest,2,1,1,53,3578.27,2171.29,3578.27
12163,2020-05-08,313,2020,Southwest,2,1,1,57,3578.27,2171.29,3578.27
25936,2020-05-08,334,2020,Australia,2,1,1,71,699.1,413.15,699.1
12004,2020-05-11,348,2020,Australia,1,1,1,57,3374.99,1898.09,3374.99
15653,2020-05-12,312,2020,United Kingdom,2,1,1,59,3578.27,2171.29,3578.27
14956,2020-05-12,310,2020,Germany,2,1,1,57,3578.27,2171.29,3578.27
26061,2020-05-13,347,2020,Southwest,1,1,1,55,3399.99,1912.15,3399.99
11999,2020-05-13,346,2020,Australia,1,1,1,60,3399.99,1912.15,3399.99
11988,2020-05-13,348,2020,Australia,1,1,1,58,3374.99,1898.09,3374.99
23866,2020-05-16,314,2020,Canada,2,1,1,50,3578.27,2171.29,3578.27
12151,2020-05-17,312,2020,Southwest,2,1,1,56,3578.27,2171.29,3578.27
26060,2020-05-23,351,2020,Southwest,1,1,1,55,3374.99,1898.09,3374.99
26057,2020-05-24,347,2020,Southwest,1,1,1,55,3399.99,1912.15,3399.99
12075,2020-05-25,313,2020,Northwest,2,1,1,76,3578.27,2171.29,3578.27
20609,2020-05-28,310,2020,Australia,2,1,1,47,3578.27,2171.29,3578.27
12112,2020-05-30,312,2020,Southwest,2,1,1,70,3578.27,2171.29,3578.27
15692,2020-06-02,312,2020,United Kingdom,2,1,1,66,3578.27,2171.29,3578.27
25947,2020-06-10,324,2020,Australia,2,1,1,66,699.1,413.15,699.1
19033,2020-06-12,332,2020,France,2,1,1,64,699.1,413.15,699.1
12009,2020-06-13,346,2020,Australia,1,1,1,63,3399.99,1912.15,3399.99
12245,2020-06-14,346,2020,Australia,1,1,1,42,3399.99,1912.15,3399.99
19518,2020-06-18,328,2020,Germany,2,1,1,45,699.1,413.15,699.1
12423,2020-06-21,310,2020,Northwest,2,1,1,66,3578.27,2171.29,3578.27
20815,2020-06-21,310,2020,Australia,2,1,1,41,3578.27,2171.29,3578.27
14978,2020-06-24,311,2020,Germany,2,1,1,42,3578.27,2171.29,3578.27
13555,2020-06-26,314,2020,France,2,1,1,51,3578.27,2171.29,3578.27
24757,2020-06-27,310,2020,Canada,2,1,1,62,3578.27,2171.29,3578.27
12188,2020-06-27,314,2020,Southwest,2,1,1,60,3578.27,2171.29,3578.27
12913,2020-06-27,311,2020,Northwest,2,1,1,52,3578.27,2171.29,3578.27
12252,2020-06-27,348,2020,Australia,1,1,1,43,3374.99,1898.09,3374.99
21166,2020-07-03,370,2020,Australia,2,1,1,51,2443.35,1518.79,2443.35
16942,2020-07-04,381,2020,France,2,1,1,66,1000.44,605.65,1000.44
25958,2020-07-10,320,2020,Australia,2,1,1,64,699.1,413.15,699.1
19931,2020-07-10,342,2020,Germany,2,1,1,67,699.1,413.15,699.1
12930,2020-07-14,379,2020,Northwest,2,1,1,51,2181.56,1320.68,2181.56
24977,2020-07-14,373,2020,Canada,2,1,1,71,2181.56,1320.68,2181.56
13019,2020-07-15,370,2020,Southwest,2,1,1,41,2443.35,1518.79,2443.35
21195,2020-07-16,370,2020,Australia,2,1,1,58,2443.35,1518.79,2443.35
20188,2020-07-19,352,2020,Canada,1,1,1,59,2071.42,1117.86,2071.42
16201,2020-07-21,371,2020,United Kingdom,2,1,1,49,2181.56,1320.68,2181.56
21180,2020-07-22,371,2020,Australia,2,1,1,55,2181.56,1320.68,2181.56
13067,2020-07-22,370,2020,Northwest,2,1,1,46,2443.35,1518.79,2443.35
21189,2020-07-29,370,2020,Australia,2,1,1,57,2443.35,1518.79,2443.35
12950,2020-07-29,368,2020,Northwest,2,1,1,56,2443.35,1518.79,2443.35
15196,2020-07-30,328,2020,Southwest,2,1,1,54,699.1,413.15,699.1
13246,2020-08-01,370,2020,Southwest,2,1,1,68,2443.35,1518.79,2443.35
14025,2020-08-01,387,2020,Northwest,2,1,1,46,1000.44,605.65,1000.44
20062,2020-08-01,340,2020,Germany,2,1,1,49,699.1,413.15,699.1
13319,2020-08-05,371,2020,Northwest,2,1,1,66,2181.56,1320.68,2181.56
13424,2020-08-05,370,2020,Northwest,2,1,1,56,2443.35,1518.79,2443.35
28541,2020-08-06,362,2020,France,1,1,1,46,2049.1,1105.81,2049.1
21389,2020-08-08,379,2020,Australia,2,1,1,68,2181.56,1320.68,2181.56
13287,2020-08-14,370,2020,Southwest,2,1,1,57,2443.35,1518.79,2443.35
13355,2020-08-15,371,2020,Northwest,2,1,1,76,2181.56,1320.68,2181.56
18134,2020-08-15,385,2020,Germany,2,1,1,64,1000.44,605.65,1000.44
16405,2020-08-20,370,2020,United Kingdom,2,1,1,53,2443.35,1518.79,2443.35
16250,2020-08-20,379,2020,United Kingdom,2,1,1,52,2181.56,1320.68,2181.56
13298,2020-08-22,377,2020,Southwest,2,1,1,59,2181.56,1320.68,2181.56
21219,2020-08-24,371,2020,Australia,2,1,1,57,2181.56,1320.68,2181.56
21404,2020-08-24,379,2020,Australia,2,1,1,63,2181.56,1320.68,2181.56
15289,2020-08-24,342,2020,Southwest,2,1,1,48,699.1,413.15,699.1
19944,2020-08-25,328,2020,Germany,2,1,1,72,699.1,413.15,699.1
20717,2020-08-26,336,2020,United Kingdom,2,1,1,47,699.1,413.15,699.1
21231,2020-08-27,373,2020,Australia,2,1,1,67,2181.56,1320.68,2181.56
20350,2020-08-30,356,2020,Canada,1,1,1,65,2071.42,1117.86,2071.42
12585,2020-08-31,360,2020,Australia,1,1,1,41,2049.1,1105.81,2049.1
28520,2020-08-31,354,2020,France,1,1,1,51,2071.42,1117.86,2071.42
12686,2020-08-31,354,2020,Australia,1,1,1,48,2071.42,1117.86,2071.42
26320,2020-09-01,356,2020,Southwest,1,1,1,52,2071.42,1117.86,2071.42
15675,2020-09-10,368,2020,Germany,2,1,1,51,2443.35,1518.79,2443.35
15325,2020-09-12,338,2020,Northwest,2,1,1,72,699.1,413.15,699.1
13429,2020-09-12,377,2020,Southwest,2,1,1,56,2181.56,1320.68,2181.56
13436,2020-09-13,371,2020,Northwest,2,1,1,57,2181.56,1320.68,2181.56
21956,2020-09-13,377,2020,Australia,2,1,1,51,2181.56,1320.68,2181.56
25981,2020-09-15,370,2020,Canada,2,1,1,57,2443.35,1518.79,2443.35
20171,2020-09-18,332,2020,Germany,2,1,1,61,699.1,413.15,699.1
14080,2020-09-19,389,2020,Northwest,2,1,1,44,1000.44,605.65,1000.44
21562,2020-09-22,379,2020,Australia,2,1,1,48,2181.56,1320.68,2181.56
20837,2020-09-25,338,2020,United Kingdom,2,1,1,61,699.1,413.15,699.1
17109,2020-09-29,383,2020,France,2,1,1,49,1000.44,605.65,1000.44
24615,2020-09-30,387,2020,Australia,2,1,1,49,1000.44,605.65,1000.44
12988,2020-10-02,362,2020,Australia,1,1,1,51,2049.1,1105.81,2049.1
16546,2020-10-10,379,2020,United Kingdom,2,1,1,61,2181.56,1320.68,2181.56
26338,2020-10-13,360,2020,Southwest,1,1,1,54,2049.1,1105.81,2049.1
22199,2020-10-19,379,2020,Australia,2,1,1,64,2181.56,1320.68,2181.56
12990,2020-10-19,352,2020,Australia,1,1,1,51,2071.42,1117.86,2071.42
14708,2020-10-20,371,2020,France,2,1,1,49,2181.56,1320.68,2181.56
20549,2020-10-29,320,2020,Germany,2,1,1,63,699.1,413.15,699.1
12128,2020-11-02,360,2020,Germany,1,1,1,64,2049.1,1105.81,2049.1
16307,2020-11-05,371,2020,Germany,2,1,1,57,2181.56,1320.68,2181.56
22408,2020-11-11,371,2020,Australia,2,1,1,41,2181.56,1320.68,2181.56
22851,2020-11-11,371,2020,Australia,2,1,1,47,2181.56,1320.68,2181.56
22904,2020-11-13,373,2020,Australia,2,1,1,51,2181.56,1320.68,2181.56
26545,2020-11-15,354,2020,Southwest,1,1,1,42,2071.42,1117.86,2071.42
12289,2020-11-21,362,2020,United Kingdom,1,1,1,52,2049.1,1105.81,2049.1
16594,2020-11-22,368,2020,United Kingdom,2,1,1,68,2443.35,1518.79,2443.35
14813,2020-11-24,368,2020,France,2,1,1,57,2443.35,1518.79,2443.35
14925,2020-11-25,379,2020,France,2,1,1,52,2181.56,1320.68,2181.56
14240,2020-11-27,385,2020,Northwest,2,1,1,79,1000.44,605.65,1000.44
22406,2020-11-28,370,2020,Australia,2,1,1,43,2443.35,1518.79,2443.35
14931,2020-11-29,371,2020,France,2,1,1,52,2181.56,1320.68,2181.56
22953,2020-12-03,377,2020,Australia,2,1,1,57,2181.56,1320.68,2181.56
15411,2020-12-05,342,2020,Southwest,2,1,1,83,699.1,413.15,699.1
23105,2020-12-07,379,2020,Australia,2,1,1,66,2181.56,1320.68,2181.56
26611,2020-12-08,352,2020,Southwest,1,1,1,58,2071.42,1117.86,2071.42
26631,2020-12-11,354,2020,Southwest,1,1,1,60,2071.42,1117.86,2071.42
14946,2020-12-14,375,2020,France,2,1,1,55,2181.56,1320.68,2181.56
22936,2020-12-14,377,2020,Australia,2,1,1,59,2181.56,1320.68,2181.56
15419,2020-12-16,328,2020,Northwest,2,1,1,52,699.1,413.15,699.1
28757,2020-12-18,352,2020,France,1,1,1,49,2071.42,1117.86,2071.42
26609,2020-12-19,354,2020,Northwest,1,1,1,58,2071.42,1117.86,2071.42
26646,2020-12-19,356,2020,Southwest,1,1,1,62,2071.42,1117.86,2071.42
22934,2020-12-20,369,2020,Australia,2,1,1,58,2443.35,1518.79,2443.35
20670,2020-12-22,358,2020,Canada,1,1,1,50,2049.1,1105.81,2049.1
19293,2020-12-25,328,2020,France,2,1,1,50,699.1,413.15,699.1
27242,2020-12-26,340,2020,Canada,2,1,1,47,699.1,413.15,699.1
16534,2020-12-27,379,2020,Germany,2,1,1,59,2181.56,1320.68,2181.56
12315,2020-12-28,362,2020,United Kingdom,1,1,1,67,2049.1,1105.81,2049.1
17626,2020-12-30,377,2020,United Kingdom,2,1,1,46,2181.56,1320.68,2181.56
20722,2020-12-31,340,2020,Germany,2,1,1,48,699.1,413.15,699.1
15517,2021-01-02,334,2021,Southwest,2,1,1,52,699.1,413.15,699.1
14336,2021-01-07,383,2021,Northwest,2,1,1,43,1000.44,605.65,1000.44
23316,2021-01-10,371,2021,Australia,2,1,1,74,2181.56,1320.68,2181.56
26657,2021-01-10,328,2021,Australia,2,1,1,52,699.1,413.15,699.1
13746,2021-01-11,368,2021,Southwest,2,1,1,64,2443.35,1518.79,2443.35
17715,2021-01-11,375,2021,United Kingdom,2,1,1,65,2181.56,1320.68,2181.56
13618,2021-01-12,358,2021,Australia,1,1,1,45,2049.1,1105.81,2049.1
17714,2021-01-13,389,2021,France,2,1,1,65,1000.44,605.65,1000.44
13616,2021-01-15,358,2021,Australia,1,1,1,45,2049.1,1105.81,2049.1
13638,2021-01-15,362,2021,Australia,1,1,1,49,2049.1,1105.81,2049.1
12560,2021-01-16,360,2021,United Kingdom,1,1,1,81,2049.1,1105.81,2049.1
15462,2021-01-18,369,2021,France,2,1,1,78,2443.35,1518.79,2443.35
26013,2021-01-18,369,2021,Canada,2,1,1,63,2443.35,1518.79,2443.35
13645,2021-01-20,358,2021,Australia,1,1,1,51,2049.1,1105.81,2049.1
14292,2021-01-22,387,2021,Southwest,2,1,1,64,1000.44,605.65,1000.44
16824,2021-01-22,371,2021,Germany,2,1,1,64,2181.56,1320.68,2181.56
15484,2021-01-23,322,2021,Southwest,2,1,1,50,699.1,413.15,699.1
12291,2021-01-24,354,2021,Germany,1,1,1,77,2071.42,1117.86,2071.42
26660,2021-01-26,330,2021,Australia,2,1,1,53,699.1,413.15,699.1
13865,2021-02-01,375,2021,Southwest,2,1,1,49,2181.56,1320.68,2181.56
19040,2021-02-03,387,2021,Germany,2,1,1,77,1000.44,605.65,1000.44
23432,2021-02-04,369,2021,Australia,2,1,1,53,2443.35,1518.79,2443.35
20843,2021-02-09,342,2021,Germany,2,1,1,61,699.1,413.15,699.1
14220,2021-02-12,352,2021,Australia,1,1,1,47,2071.42,1117.86,2071.42
14364,2021-02-14,381,2021,Southwest,2,1,1,48,1000.44,605.65,1000.44
12461,2021-02-16,352,2021,Germany,1,1,1,53,2071.42,1117.86,2071.42
17790,2021-02-17,369,2021,United Kingdom,2,1,1,54,2443.35,1518.79,2443.35
12384,2021-02-17,358,2021,Germany,1,1,1,48,2049.1,1105.81,2049.1
27068,2021-02-17,362,2021,Southwest,1,1,1,48,2049.1,1105.81,2049.1
12599,2021-02-18,356,2021,United Kingdom,1,1,1,62,2071.42,1117.86,2071.42
17183,2021-02-18,368,2021,Germany,2,1,1,64,2443.35,1518.79,2443.35
23574,2021-02-20,379,2021,Australia,2,1,1,78,2181.56,1320.68,2181.56
12622,2021-02-20,358,2021,United Kingdom,1,1,1,52,2049.1,1105.81,2049.1
21332,2021-02-24,360,2021,Canada,1,1,1,67,2049.1,1105.81,2049.1
27021,2021-02-24,354,2021,Southwest,1,1,1,67,2071.42,1117.86,2071.42
17184,2021-02-25,369,2021,Germany,2,1,1,64,2443.35,1518.79,2443.35
15623,2021-02-26,369,2021,France,2,1,1,49,2443.35,1518.79,2443.35
19440,2021-03-01,381,2021,United Kingdom,2,1,1,52,1000.44,605.65,1000.44
23655,2021-03-06,368,2021,Australia,2,1,1,49,2443.35,1518.79,2443.35
23651,2021-03-09,375,2021,Australia,2,1,1,48,2181.56,1320.68,2181.56
14670,2021-03-12,352,2021,Australia,1,1,1,53,2071.42,1117.86,2071.42
14224,2021-03-12,358,2021,Australia,1,1,1,48,2049.1,1105.81,2049.1
13890,2021-03-15,379,2021,Northwest,2,1,1,55,2181.56,1320.68,2181.56
25057,2021-03-19,381,2021,Australia,2,1,1,62,1000.44,605.65,1000.44
12495,2021-03-22,356,2021,Germany,1,1,1,57,2071.42,1117.86,2071.42
12648,2021-03-27,358,2021,United Kingdom,1,1,1,69,2049.1,1105.81,2049.1
16392,2021-04-01,371,2021,France,2,1,1,53,2181.56,1320.68,2181.56
